['Rooms', 'Garage', 'Theater']	Test Error: [0.30469017]
['Rooms', 'Garden', 'Age']	Test Error: [0.34259288]
['Rooms', 'Garden', 'Theater']	Test Error: [0.31256641]
['Rooms', 'Age', 'Theater']	Test Error: [0.34230139]
['Pool', 'Garage', 'Garden']	Test Error: [0.29185584]
['Pool', 'Garage', 'Age']	Test Error: [0.29887423]
['Pool', 'Garage', 'Theater']	Test Error: [0.29168874]
['Pool', 'Garden', 'Age']	Test Error: [0.30728505]
['Pool', 'Garden', 'Theater']	Test Error: [0.29608231]
['Pool', 'Age', 'Theater']	Test Error: [0.30682266]
['Garage', 'Garden', 'Age']	Test Error: [0.29934281]
['Garage', 'Garden', 'Theater']	Test Error: [0.29193556]
['Garage', 'Age', 'Theater']	Test Error: [0.29914753]
['Garden', 'Age', 'Theater']	Test Error: [0.30743153]
['Level', 'Area', 'Floor', 'Rooms']	Test Error: [0.13770265]
['Level', 'Area', 'Floor', 'Pool']	Test Error: [0.13836732]
['Level', 'Area', 'Floor', 'Garage']	Test Error: [0.13816603]
['Level', 'Area', 'Floor', 'Garden']	Test Error: [0.13833895]
['Level', 'Area', 'Floor', 'Age']	Test Error: [0.11272639]
['Level', 'Area', 'Floor', 'Theater']	Test Error: [0.1383619]
['Level', 'Area', 'Rooms', 'Pool']	Test Error: [0.14064007]
['Level', 'Area', 'Rooms', 'Garage']	Test Error: [0.14059877]
['Level', 'Area', 'Rooms', 'Garden']	Test Error: [0.14066438]
['Level', 'Area', 'Rooms', 'Age']	Test Error: [0.11528503]
['Level', 'Area', 'Rooms', 'Theater']	Test Error: [0.14065869]
['Level', 'Area', 'Pool', 'Garage']	Test Error: [0.14118744]
['Level', 'Area', 'Pool', 'Garden']	Test Error: [0.14134391]
['Level', 'Area', 'Pool', 'Age']	Test Error: [0.11593081]
['Level', 'Area', 'Pool', 'Theater']	Test Error: [0.14136363]
['Level', 'Area', 'Garage', 'Garden']	Test Error: [0.14118796]
['Level', 'Area', 'Garage', 'Age']	Test Error: [0.11582294]
['Level', 'Area', 'Garage', 'Theater']	Test Error: [0.14119344]
['Level', 'Area', 'Garden', 'Age']	Test Error: [0.11593119]
['Level', 'Area', 'Garden', 'Theater']	Test Error: [0.141342]
['Level', 'Area', 'Age', 'Theater']	Test Error: [0.11593871]
['Level', 'Floor', 'Rooms', 'Pool']	Test Error: [0.29417874]
['Level', 'Floor', 'Rooms', 'Garage']	Test Error: [0.28095618]
['Level', 'Floor', 'Rooms', 'Garden']	Test Error: [0.29536427]
['Level', 'Floor', 'Rooms', 'Age']	Test Error: [0.33634199]
['Level', 'Floor', 'Rooms', 'Theater']	Test Error: [0.2949684]
['Level', 'Floor', 'Pool', 'Garage']	Test Error: [0.26001785]
['Level', 'Floor', 'Pool', 'Garden']	Test Error: [0.26674163]
['Level', 'Floor', 'Pool', 'Age']	Test Error: [0.2932139]
['Level', 'Floor', 'Pool', 'Theater']	Test Error: [0.26633334]
['Level', 'Floor', 'Garage', 'Garden']	Test Error: [0.26052711]
['Level', 'Floor', 'Garage', 'Age']	Test Error: [0.27298355]
['Level', 'Floor', 'Garage', 'Theater']	Test Error: [0.26030602]
['Level', 'Floor', 'Garden', 'Age']	Test Error: [0.29446393]
['Level', 'Floor', 'Garden', 'Theater']	Test Error: [0.26699301]
['Level', 'Floor', 'Age', 'Theater']	Test Error: [0.2938017]
['Level', 'Rooms', 'Pool', 'Garage']	Test Error: [0.26119964]
['Level', 'Rooms', 'Pool', 'Garden']	Test Error: [0.26779419]
['Level', 'Rooms', 'Pool', 'Age']	Test Error: [0.2887443]
['Level', 'Rooms', 'Pool', 'Theater']	Test Error: [0.26740687]
['Level', 'Rooms', 'Garage', 'Garden']	Test Error: [0.26173829]
['Level', 'Rooms', 'Garage', 'Age']	Test Error: [0.27256808]
['Level', 'Rooms', 'Garage', 'Theater']	Test Error: [0.26154636]
['Level', 'Rooms', 'Garden', 'Age']	Test Error: [0.28982351]
['Level', 'Rooms', 'Garden', 'Theater']	Test Error: [0.26811708]
['Level', 'Rooms', 'Age', 'Theater']	Test Error: [0.28931365]
['Level', 'Pool', 'Garage', 'Garden']	Test Error: [0.25049027]
['Level', 'Pool', 'Garage', 'Age']	Test Error: [0.25012812]
